Zeitpunkt;Benutzer;EinsatzID;Einsatz;Aktion;Von;Nach;Einheit;Bemerkung;InternID
04.02.2026  12:52:34;EinsatzInfo;E-1;Fahrzeug bergen unter 3.5t;Einsatz erstellt (Auto-Import);Neu;;;Schuß 10 Schuß;hv2k57if
04.02.2026  12:52:34;EinsatzInfo;E-2;Fahrzeug bergen über 3.5t;Einsatz erstellt (Auto-Import);Neu;;;Sirnitz;gs6wzq0a
04.02.2026  12:52:34;EinsatzInfo;E-3;B2, Nachschau / Brand gelöscht;Einsatz erstellt (Auto-Import);Neu;;;Blumenweg 3 Sirnitz;7py6xp79
04.02.2026  12:52:34;EinsatzInfo;E-4;Wassertransport/Wasserversorgung;Einsatz erstellt (Auto-Import);Neu;;;Gerlitzenstraße 32 Winkl Ossiachberg;i34n4hfr
04.02.2026  13:03:34;S2;M-5;Technische Hilfeleistung;Einsatz erstellt;Neu;;;u. Tiebelgasse 15, 9560 Feldkirchen in Kärnten, Österreich;nozucuns
04.02.2026  13:03:34;S2;M-5;Technische Hilfeleistung;Einsatz erstellt;Neu;;;u. Tiebelgasse 15, 9560 Feldkirchen in Kärnten, Österreich;nozucuns
04.02.2026  13:04:46;S2;M-6;Fahrzeug bergen;Einsatz erstellt;Neu;;;u. Tiebelgasse, 9560 Feldkirchen in Kärnten, Österreich;a9tg3ak4
04.02.2026  13:04:46;S2;M-6;Fahrzeug bergen;Einsatz erstellt;Neu;;;u. Tiebelgasse, 9560 Feldkirchen in Kärnten, Österreich;a9tg3ak4
04.02.2026  13:19:43;S2;M-7;Baum;Einsatz erstellt;Neu;;;u. Tiebelgasse, 9560 Feldkirchen in Kärnten, Österreich;umkdoap7
04.02.2026  13:19:43;S2;M-7;Baum;Einsatz erstellt;Neu;;;u. Tiebelgasse, 9560 Feldkirchen in Kärnten, Österreich;umkdoap7
04.02.2026  13:24:00;S2;M-8;Baum;Einsatz erstellt;Neu;;;u. Tiebelgasse, 9560 Feldkirchen in Kärnten, Österreich;r0ven23z
04.02.2026  13:24:00;S2;M-8;Baum;Einsatz erstellt;Neu;;;u. Tiebelgasse, 9560 Feldkirchen in Kärnten, Österreich;r0ven23z
04.02.2026  13:25:59;S2;M-9;Baum;Einsatz erstellt;Neu;;;u. Tiebelgasse 15, 9560 Feldkirchen in Kärnten, Österreich;eusx5lrp
04.02.2026  13:25:59;S2;M-9;Baum;Einsatz erstellt;Neu;;;u. Tiebelgasse 15, 9560 Feldkirchen in Kärnten, Österreich;eusx5lrp
